"disease","type"
"A","Control"
"B","Control"
"A","Control"
"A","Drug"
"A","Drug"
"A","Control"
"B","Control"
"A","Drug"
"A","Drug"
"B","Control"
"A","Drug"
"B","Control"
"A","Drug"
"A","Control"
"A","Control"
"B","Control"
"A","Control"
"B","Control"
"B","Drug"
"A","Control"
"B","Control"
"B","Control"
"A","Drug"
"A","Control"
"A","Drug"
"A","Control"
"A","Control"
"B","Control"
"A","Drug"
"B","Control"
"B","Control"
"A","Drug"
"A","Drug"
"A","Control"
"B","Control"
"B","Control"
"A","Control"
"A","Drug"
"A","Drug"
"B","Control"
"B","Drug"
"A","Drug"
"A","Control"
"B","Control"
"B","Drug"
"A","Control"
"B","Control"
"A","Control"
"A","Control"
"A","Drug"
"A","Drug"
"B","Control"
"A","Drug"
"B","Control"
"A","Control"
"B","Drug"
"B","Control"
"B","Control"
"A","Control"
"A","Control"
"A","Control"
"A","Control"
"A","Control"
"B","Drug"
"A","Control"
"B","Control"
"A","Drug"
"A","Control"
"B","Control"
"A","Control"
"B","Control"
"A","Drug"
"A","Control"
"A","Control"
"B","Control"
"B","Control"
"B","Control"
"A","Control"
"A","Drug"
"B","Control"
